epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,19168.8,1.31782,1.26299,1.29046,0.60249,0.47724,0.5247,0.25437,1.89675,1.68895,1.78547,0.000544776,0.000544776,0.000544776
70,19417.2,1.29687,1.21016,1.30258,0.66487,0.52346,0.56683,0.27154,1.88413,1.60743,1.76178,0.000528272,0.000528272,0.000528272
71,19665.4,1.34607,1.21449,1.30098,0.60804,0.55639,0.56178,0.26853,1.84003,1.70062,1.73544,0.000511769,0.000511769,0.000511769
72,19914.6,1.31514,1.22396,1.30497,0.60919,0.52638,0.52583,0.25248,1.89236,1.78654,1.77216,0.000495266,0.000495266,0.000495266
73,20165.8,1.29089,1.14508,1.29256,0.61704,0.50507,0.53426,0.25522,1.88035,1.58329,1.77349,0.000478762,0.000478762,0.000478762
74,20418.3,1.2693,1.14522,1.27282,0.62638,0.52328,0.52913,0.26457,1.87774,1.77926,1.72887,0.000462259,0.000462259,0.000462259
75,20667.7,1.28402,1.165,1.2657,0.63267,0.46981,0.52674,0.24179,1.90859,1.66267,1.788,0.000445756,0.000445756,0.000445756
76,20915.9,1.27383,1.13489,1.26785,0.59944,0.52303,0.54202,0.26193,1.88347,1.67519,1.75063,0.000429253,0.000429253,0.000429253
77,21163.7,1.25377,1.14797,1.27346,0.61011,0.52302,0.53842,0.2536,1.9053,1.66917,1.77775,0.000412749,0.000412749,0.000412749
78,21411.1,1.25168,1.11916,1.25563,0.60684,0.56128,0.55875,0.26429,1.8992,1.62252,1.77821,0.000396246,0.000396246,0.000396246
79,21659.3,1.2407,1.10955,1.26575,0.61277,0.51537,0.54228,0.26272,1.93164,1.59605,1.7879,0.000379743,0.000379743,0.000379743
80,21906.7,1.2284,1.10927,1.2552,0.61285,0.53254,0.56428,0.26932,1.92621,1.59173,1.77737,0.000363239,0.000363239,0.000363239
